partipcod,parnom,disnom,cornom,nivel,latitud,longitud,tipodet,ts,nivel_lbl
1,Av Alfonso Ugarte-Av Las Granadas,Ate,NA,3,-12.028847,-76.909775,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,"Av Alfonso Ugarte-Av, Nicolas De Pierola",Ate,NA,1,-12.02646,-76.893135,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Av Quilca Bamba,Ate,NA,1,-12.026398,-76.891014,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Av Rosa Cruces,Ate,NA,3,-12.027743,-76.902039,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfonso Ugarte-Av San Martin De Porres,Ate,NA,1,-12.027284,-76.89888,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Ca Lima,Ate,NA,3,-12.028405,-76.906654,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfonso Ugarte-Ca 02 De Mayo,Ate,NA,1,-12.025742,-76.887955,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-CaCedros,Ate,NA,1,-12.026053,-76.890251,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Calle 08,Ate,NA,1,-12.028592,-76.906593,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Plaza Bolognesi,Breña,NA,2,-12.059374,-77.041725,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-AV ALFREDO FRANCO,Santiago De Surco,NA,1,-12.128415,-76.995941,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-AV AYACUCHO,Santiago De Surco,NA,1,-12.128703,-76.997383,Transporte Regular,2021-05-15T20:22:17Z,Moderado
